[Tue Dec  9 10:05:56 +07 2025] WordPress Debug Log Created
[09-Dec-2025 03:08:02 UTC] Debug log test message at 2025-12-09 03:08:02
[09-Dec-2025 03:08:03 UTC] Debug log test message at 2025-12-09 03:08:03
[09-Dec-2025 03:08:15 UTC] Debug log test message at 2025-12-09 03:08:15
[09-Dec-2025 03:08:16 UTC] Debug log test message at 2025-12-09 03:08:16
[09-Dec-2025 03:08:17 UTC] Debug log test message at 2025-12-09 03:08:17
[09-Dec-2025 03:08:22 UTC] Debug log test message at 2025-12-09 03:08:22
[09-Dec-2025 03:18:38 UTC] PHP Deprecated:  Function the_block_template_skip_link is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_block_template_skip_link() instead. in /Users/tunnaduong/dev/wordpress/wp-includes/functions.php on line 6131
[09-Dec-2025 03:18:38 UTC] PHP Deprecated:  Function the_block_template_skip_link is <strong>deprecated</strong> since version 6.4.0! Use wp_enqueue_block_template_skip_link() instead. in /Users/tunnaduong/dev/wordpress/wp-includes/functions.php on line 6131
[09-Dec-2025 03:24:18 UTC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /Users/tunnaduong/dev/wordpress/wp-content/plugins/animate-on-scroll/vendor/ori-dom-parser.php on line 627
[09-Dec-2025 03:24:18 UTC] PHP Fatal error:  PHP Request Shutdown: Cannot use output buffering in output buffering display handlers in Unknown on line 0
[09-Dec-2025 04:08:04 UTC] Automatic updates starting...
[09-Dec-2025 04:08:08 UTC] Automatic updates complete.
[09-Dec-2025 05:19:01 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:19:03 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:19:06 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:19:08 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:10 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:10 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:32 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:32 UTC] PHP Warning:  foreach() argument must be of type array|object, string given in /Users/tunnaduong/dev/wordpress/wp-content/plugins/wp-mail-smtp/src/Options.php on line 327
[09-Dec-2025 05:20:32 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:44 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
[09-Dec-2025 05:20:46 UTC] PHP Warning:  Constant WPMS_MAILER already defined in /Users/tunnaduong/dev/wordpress/wp-config.php on line 112
